State,County,duration,Accident,Broken,Congestion,Construction,Event,Incident,Lane,Other
AL,ALL,"(0.0, 16.0]",0,0,302,0,0,21,0,0
AL,ALL,"(1024.0, 2048.0]",0,0,0,9,0,0,0,0
AL,ALL,"(128.0, 256.0]",4,1,751,67,0,134,4,3
AL,ALL,"(16.0, 32.0]",3981,722,240,78,0,507,255,20
AL,ALL,"(16384.0, inf]",0,0,0,274,0,0,0,0
AL,ALL,"(2048.0, 4096.0]",0,0,0,7,0,1,0,0
AL,ALL,"(256.0, 512.0]",0,0,131,104,0,23,0,0
AL,ALL,"(32.0, 64.0]",3956,475,92166,30,0,1350,240,2
AL,ALL,"(4096.0, 8192.0]",0,0,0,35,0,0,0,0
AL,ALL,"(512.0, 1024.0]",0,0,13,117,304,4,0,1
AL,ALL,"(64.0, 128.0]",440,37,7297,35,0,472,67,8
AL,ALL,"(8192.0, 16384.0]",0,0,0,28,0,0,0,0
AL,ALL,ALL,8381,1235,100900,784,304,2512,566,34
AL,Autauga,"(128.0, 256.0]",0,0,1,0,0,1,0,0
AL,Autauga,"(16.0, 32.0]",27,7,0,0,0,3,0,0
AL,Autauga,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,Autauga,"(256.0, 512.0]",0,0,0,1,0,0,0,0
AL,Autauga,"(32.0, 64.0]",19,3,1386,0,0,16,0,0
AL,Autauga,"(64.0, 128.0]",2,0,44,0,0,7,0,0
AL,Autauga,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Autauga,ALL,48,10,1431,4,0,27,0,0
AL,Baldwin,"(1024.0, 2048.0]",0,0,0,1,0,0,0,0
AL,Baldwin,"(128.0, 256.0]",0,0,44,1,0,11,0,0
AL,Baldwin,"(16.0, 32.0]",137,53,0,2,0,14,11,0
AL,Baldwin,"(16384.0, inf]",0,0,0,16,0,0,0,0
AL,Baldwin,"(256.0, 512.0]",0,0,2,2,0,2,0,0
AL,Baldwin,"(32.0, 64.0]",170,20,8882,2,0,102,17,0
AL,Baldwin,"(4096.0, 8192.0]",0,0,0,4,0,0,0,0
AL,Baldwin,"(512.0, 1024.0]",0,0,0,10,0,0,0,0
AL,Baldwin,"(64.0, 128.0]",18,2,489,4,0,19,7,0
AL,Baldwin,ALL,325,75,9417,42,0,148,35,0
AL,Barbour,"(0.0, 16.0]",0,0,95,0,0,3,0,0
AL,Barbour,"(128.0, 256.0]",0,0,11,0,0,2,0,0
AL,Barbour,"(16.0, 32.0]",0,0,72,1,0,2,0,0
AL,Barbour,"(16384.0, inf]",0,0,0,4,0,0,0,0
AL,Barbour,"(256.0, 512.0]",0,0,1,0,0,0,0,0
AL,Barbour,"(32.0, 64.0]",1,0,537,0,0,2,0,0
AL,Barbour,"(64.0, 128.0]",0,0,33,0,0,2,0,0
AL,Barbour,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Barbour,ALL,1,0,749,6,0,11,0,0
AL,Bibb,"(1024.0, 2048.0]",0,0,0,1,0,0,0,0
AL,Bibb,"(16.0, 32.0]",8,0,0,0,0,1,0,0
AL,Bibb,"(32.0, 64.0]",6,0,215,0,0,2,0,0
AL,Bibb,"(512.0, 1024.0]",0,0,0,1,0,0,0,0
AL,Bibb,"(64.0, 128.0]",1,0,1,0,0,0,0,1
AL,Bibb,ALL,15,0,216,2,0,3,0,1
AL,Blount,"(128.0, 256.0]",0,0,21,0,0,3,0,0
AL,Blount,"(16.0, 32.0]",110,1,0,0,0,24,10,0
AL,Blount,"(16384.0, inf]",0,0,0,3,0,0,0,0
AL,Blount,"(256.0, 512.0]",0,0,6,1,0,2,0,0
AL,Blount,"(32.0, 64.0]",122,1,664,1,0,43,2,0
AL,Blount,"(512.0, 1024.0]",0,0,0,7,0,0,0,0
AL,Blount,"(64.0, 128.0]",18,0,36,0,0,41,2,1
AL,Blount,ALL,250,2,727,12,0,113,14,1
AL,Bullock,"(0.0, 16.0]",0,0,1,0,0,0,0,0
AL,Bullock,"(16.0, 32.0]",0,0,0,0,0,1,0,0
AL,Bullock,"(32.0, 64.0]",1,0,300,0,0,0,0,0
AL,Bullock,"(64.0, 128.0]",1,0,12,0,0,0,0,0
AL,Bullock,ALL,2,0,313,0,0,1,0,0
AL,Butler,"(128.0, 256.0]",0,0,6,0,0,2,0,0
AL,Butler,"(16.0, 32.0]",8,0,0,0,0,1,0,0
AL,Butler,"(16384.0, inf]",0,0,0,8,0,0,0,0
AL,Butler,"(32.0, 64.0]",12,0,907,0,0,2,0,0
AL,Butler,"(4096.0, 8192.0]",0,0,0,1,0,0,0,0
AL,Butler,"(64.0, 128.0]",0,0,30,0,0,0,0,0
AL,Butler,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Butler,ALL,20,0,943,10,0,5,0,0
AL,Calhoun,"(128.0, 256.0]",0,0,1,0,0,0,0,0
AL,Calhoun,"(16.0, 32.0]",9,3,0,1,0,3,1,0
AL,Calhoun,"(32.0, 64.0]",6,3,881,0,0,10,1,0
AL,Calhoun,"(512.0, 1024.0]",0,0,0,0,6,0,0,0
AL,Calhoun,"(64.0, 128.0]",1,0,38,0,0,1,2,0
AL,Calhoun,ALL,16,6,920,1,6,14,4,0
AL,Chambers,"(0.0, 16.0]",0,0,21,0,0,0,0,0
AL,Chambers,"(16.0, 32.0]",7,0,7,0,0,3,0,1
AL,Chambers,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,Chambers,"(256.0, 512.0]",0,0,0,1,0,0,0,0
AL,Chambers,"(32.0, 64.0]",4,0,427,1,0,6,1,0
AL,Chambers,"(64.0, 128.0]",1,0,18,0,0,1,0,0
AL,Chambers,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Chambers,ALL,12,0,473,5,0,10,1,1
AL,Cherokee,"(16.0, 32.0]",2,0,0,0,0,0,0,0
AL,Cherokee,"(32.0, 64.0]",0,0,313,0,0,1,0,0
AL,Cherokee,"(64.0, 128.0]",0,0,16,0,0,0,0,0
AL,Cherokee,ALL,2,0,329,0,0,1,0,0
AL,Chilton,"(128.0, 256.0]",0,0,7,0,0,2,0,0
AL,Chilton,"(16.0, 32.0]",225,17,0,2,0,23,9,0
AL,Chilton,"(16384.0, inf]",0,0,0,6,0,0,0,0
AL,Chilton,"(256.0, 512.0]",0,0,1,1,0,0,0,0
AL,Chilton,"(32.0, 64.0]",227,10,1684,1,0,25,13,0
AL,Chilton,"(512.0, 1024.0]",0,0,0,2,0,0,0,0
AL,Chilton,"(64.0, 128.0]",17,1,73,0,0,5,3,1
AL,Chilton,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Chilton,ALL,469,28,1765,13,0,55,25,1
AL,Choctaw,"(128.0, 256.0]",0,0,3,0,0,0,0,0
AL,Choctaw,"(256.0, 512.0]",0,0,4,0,0,0,0,0
AL,Choctaw,"(32.0, 64.0]",0,0,215,0,0,1,0,0
AL,Choctaw,"(64.0, 128.0]",0,0,22,0,0,0,0,0
AL,Choctaw,ALL,0,0,244,0,0,1,0,0
AL,Clarke,"(16.0, 32.0]",2,0,0,0,0,1,0,0
AL,Clarke,"(32.0, 64.0]",0,0,697,0,0,3,0,0
AL,Clarke,"(64.0, 128.0]",0,0,22,0,0,1,0,0
AL,Clarke,ALL,2,0,719,0,0,5,0,0
AL,Clay,"(16.0, 32.0]",0,0,0,0,0,1,0,0
AL,Clay,"(32.0, 64.0]",0,0,83,0,0,0,0,0
AL,Clay,"(64.0, 128.0]",0,0,4,0,0,0,0,0
AL,Clay,ALL,0,0,87,0,0,1,0,0
AL,Cleburne,"(128.0, 256.0]",1,0,3,0,0,0,0,0
AL,Cleburne,"(16.0, 32.0]",6,4,0,0,0,2,3,0
AL,Cleburne,"(16384.0, inf]",0,0,0,1,0,0,0,0
AL,Cleburne,"(256.0, 512.0]",0,0,1,0,0,0,0,0
AL,Cleburne,"(32.0, 64.0]",8,1,335,0,0,5,3,0
AL,Cleburne,"(64.0, 128.0]",0,0,14,0,0,1,0,0
AL,Cleburne,ALL,15,5,353,1,0,8,6,0
AL,Coffee,"(128.0, 256.0]",0,0,5,0,0,0,0,0
AL,Coffee,"(16.0, 32.0]",1,0,0,0,0,1,0,0
AL,Coffee,"(16384.0, inf]",0,0,0,13,0,0,0,0
AL,Coffee,"(256.0, 512.0]",0,0,0,1,0,0,0,0
AL,Coffee,"(32.0, 64.0]",1,0,315,0,0,0,0,0
AL,Coffee,"(64.0, 128.0]",0,0,23,0,0,0,0,0
AL,Coffee,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Coffee,ALL,2,0,343,15,0,1,0,0
AL,Colbert,"(128.0, 256.0]",0,0,1,0,0,0,0,0
AL,Colbert,"(16.0, 32.0]",6,0,0,0,0,0,0,0
AL,Colbert,"(256.0, 512.0]",0,0,0,2,0,0,0,0
AL,Colbert,"(32.0, 64.0]",1,0,511,0,0,5,0,0
AL,Colbert,"(64.0, 128.0]",0,0,16,0,0,0,0,0
AL,Colbert,ALL,7,0,528,2,0,5,0,0
AL,Conecuh,"(128.0, 256.0]",0,0,2,0,0,0,0,0
AL,Conecuh,"(16.0, 32.0]",10,1,0,0,0,3,1,0
AL,Conecuh,"(256.0, 512.0]",0,0,0,2,0,0,0,0
AL,Conecuh,"(32.0, 64.0]",6,0,564,0,0,5,0,0
AL,Conecuh,"(4096.0, 8192.0]",0,0,0,1,0,0,0,0
AL,Conecuh,"(512.0, 1024.0]",0,0,0,3,0,0,0,0
AL,Conecuh,"(64.0, 128.0]",1,0,11,1,0,1,0,0
AL,Conecuh,ALL,17,1,577,7,0,9,1,0
AL,Coosa,"(16.0, 32.0]",3,1,0,0,0,0,0,0
AL,Coosa,"(32.0, 64.0]",3,0,331,0,0,0,0,0
AL,Coosa,"(64.0, 128.0]",0,0,8,0,0,0,0,0
AL,Coosa,ALL,6,1,339,0,0,0,0,0
AL,Covington,"(16384.0, inf]",0,0,0,4,0,0,0,0
AL,Covington,"(32.0, 64.0]",0,0,517,0,0,3,0,0
AL,Covington,"(64.0, 128.0]",0,0,24,0,0,0,0,0
AL,Covington,ALL,0,0,541,4,0,3,0,0
AL,Crenshaw,"(128.0, 256.0]",0,0,1,0,0,0,0,0
AL,Crenshaw,"(16.0, 32.0]",0,0,0,1,0,0,0,0
AL,Crenshaw,"(16384.0, inf]",0,0,0,5,0,0,0,0
AL,Crenshaw,"(32.0, 64.0]",0,0,486,0,0,0,0,0
AL,Crenshaw,"(64.0, 128.0]",0,0,48,0,0,1,0,0
AL,Crenshaw,ALL,0,0,535,6,0,1,0,0
AL,Cullman,"(128.0, 256.0]",1,0,35,0,0,8,0,0
AL,Cullman,"(16.0, 32.0]",25,0,0,1,0,7,1,0
AL,Cullman,"(16384.0, inf]",0,0,0,1,0,0,0,0
AL,Cullman,"(2048.0, 4096.0]",0,0,0,2,0,0,0,0
AL,Cullman,"(256.0, 512.0]",0,0,5,0,0,0,0,0
AL,Cullman,"(32.0, 64.0]",17,1,2463,0,0,22,2,0
AL,Cullman,"(64.0, 128.0]",6,0,190,0,0,14,0,1
AL,Cullman,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Cullman,ALL,49,1,2693,5,0,51,3,1
AL,Dale,"(16.0, 32.0]",2,0,0,0,0,0,0,0
AL,Dale,"(32.0, 64.0]",0,0,508,0,0,4,0,0
AL,Dale,"(4096.0, 8192.0]",0,0,0,2,0,0,0,0
AL,Dale,"(64.0, 128.0]",0,0,14,0,0,0,0,0
AL,Dale,ALL,2,0,522,2,0,4,0,0
AL,Dallas,"(128.0, 256.0]",0,0,3,0,0,0,0,0
AL,Dallas,"(16.0, 32.0]",0,0,0,0,0,2,0,0
AL,Dallas,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,Dallas,"(32.0, 64.0]",4,0,704,0,0,7,0,0
AL,Dallas,"(4096.0, 8192.0]",0,0,0,1,0,0,0,0
AL,Dallas,"(64.0, 128.0]",0,0,23,0,0,1,0,0
AL,Dallas,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Dallas,ALL,4,0,730,4,0,10,0,0
AL,De Kalb,"(32.0, 64.0]",0,0,83,0,0,1,0,0
AL,De Kalb,"(64.0, 128.0]",0,0,7,0,0,0,0,0
AL,De Kalb,ALL,0,0,90,0,0,1,0,0
AL,DeKalb,"(128.0, 256.0]",0,0,4,0,0,1,0,0
AL,DeKalb,"(16.0, 32.0]",1,1,0,1,0,2,1,0
AL,DeKalb,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,DeKalb,"(256.0, 512.0]",0,0,0,4,0,0,0,0
AL,DeKalb,"(32.0, 64.0]",2,0,395,1,0,2,0,0
AL,DeKalb,"(64.0, 128.0]",0,0,21,0,0,0,0,0
AL,DeKalb,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,DeKalb,ALL,3,1,420,9,0,5,1,0
AL,Elmore,"(16.0, 32.0]",21,35,1,0,0,3,2,0
AL,Elmore,"(16384.0, inf]",0,0,0,4,0,0,0,0
AL,Elmore,"(32.0, 64.0]",37,10,584,0,0,8,1,0
AL,Elmore,"(64.0, 128.0]",4,0,30,0,0,2,0,1
AL,Elmore,ALL,62,45,615,4,0,13,3,1
AL,Escambia,"(128.0, 256.0]",0,0,15,0,0,0,0,0
AL,Escambia,"(16.0, 32.0]",8,3,0,1,0,1,0,0
AL,Escambia,"(16384.0, inf]",0,0,0,1,0,0,0,0
AL,Escambia,"(256.0, 512.0]",0,0,3,0,0,0,0,0
AL,Escambia,"(32.0, 64.0]",11,3,1056,0,0,6,0,0
AL,Escambia,"(512.0, 1024.0]",0,0,1,6,0,0,0,0
AL,Escambia,"(64.0, 128.0]",1,0,79,0,0,8,1,0
AL,Escambia,ALL,20,6,1154,8,0,15,1,0
AL,Etowah,"(128.0, 256.0]",0,0,12,8,0,2,0,1
AL,Etowah,"(16.0, 32.0]",5,2,0,0,0,2,1,0
AL,Etowah,"(16384.0, inf]",0,0,0,5,0,0,0,0
AL,Etowah,"(256.0, 512.0]",0,0,4,0,0,0,0,0
AL,Etowah,"(32.0, 64.0]",4,0,1324,0,0,10,1,0
AL,Etowah,"(64.0, 128.0]",1,0,107,0,0,0,0,0
AL,Etowah,ALL,10,2,1447,13,0,14,2,1
AL,Fayette,"(128.0, 256.0]",0,0,0,0,0,0,0,1
AL,Fayette,"(16.0, 32.0]",2,1,0,0,0,1,0,0
AL,Fayette,"(16384.0, inf]",0,0,0,7,0,0,0,0
AL,Fayette,"(32.0, 64.0]",6,0,133,0,0,0,0,0
AL,Fayette,"(512.0, 1024.0]",0,0,0,2,0,0,0,0
AL,Fayette,"(64.0, 128.0]",2,0,4,0,0,0,0,0
AL,Fayette,ALL,10,1,137,9,0,1,0,1
AL,Franklin,"(128.0, 256.0]",0,0,1,0,0,0,0,0
AL,Franklin,"(16.0, 32.0]",1,0,0,0,0,1,0,0
AL,Franklin,"(256.0, 512.0]",0,0,0,1,0,0,0,0
AL,Franklin,"(32.0, 64.0]",0,0,202,0,0,0,0,0
AL,Franklin,"(64.0, 128.0]",0,0,3,0,0,1,0,0
AL,Franklin,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Franklin,ALL,1,0,206,2,0,2,0,0
AL,Geneva,"(1024.0, 2048.0]",0,0,0,1,0,0,0,0
AL,Geneva,"(128.0, 256.0]",0,0,2,0,0,0,0,0
AL,Geneva,"(16.0, 32.0]",1,0,0,0,0,1,0,0
AL,Geneva,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,Geneva,"(32.0, 64.0]",0,0,233,0,0,0,0,0
AL,Geneva,"(64.0, 128.0]",0,0,31,0,0,0,0,0
AL,Geneva,ALL,1,0,266,3,0,1,0,0
AL,Greene,"(128.0, 256.0]",0,0,1,0,0,1,0,0
AL,Greene,"(16.0, 32.0]",23,2,0,0,0,2,0,0
AL,Greene,"(16384.0, inf]",0,0,0,4,0,0,0,0
AL,Greene,"(256.0, 512.0]",0,0,0,1,0,0,0,0
AL,Greene,"(32.0, 64.0]",18,0,226,1,0,2,1,1
AL,Greene,"(512.0, 1024.0]",0,0,0,1,0,0,0,0
AL,Greene,"(64.0, 128.0]",1,0,16,0,0,2,1,0
AL,Greene,ALL,42,2,243,7,0,7,2,1
AL,Hale,"(16.0, 32.0]",2,0,0,0,0,2,1,0
AL,Hale,"(32.0, 64.0]",1,0,173,0,0,2,0,0
AL,Hale,"(64.0, 128.0]",0,0,4,0,0,0,0,0
AL,Hale,ALL,3,0,177,0,0,4,1,0
AL,Henry,"(0.0, 16.0]",0,0,10,0,0,0,0,0
AL,Henry,"(128.0, 256.0]",0,0,6,0,0,0,0,0
AL,Henry,"(16.0, 32.0]",0,0,13,0,0,0,0,0
AL,Henry,"(16384.0, inf]",0,0,0,5,0,0,0,0
AL,Henry,"(256.0, 512.0]",0,0,1,0,0,0,0,0
AL,Henry,"(32.0, 64.0]",1,0,351,0,0,3,0,0
AL,Henry,"(64.0, 128.0]",0,0,21,0,0,0,0,0
AL,Henry,"(8192.0, 16384.0]",0,0,0,2,0,0,0,0
AL,Henry,ALL,1,0,402,7,0,3,0,0
AL,Houston,"(1024.0, 2048.0]",0,0,0,2,0,0,0,0
AL,Houston,"(128.0, 256.0]",0,0,6,0,0,0,0,0
AL,Houston,"(16.0, 32.0]",1,0,0,0,0,2,0,0
AL,Houston,"(16384.0, inf]",0,0,0,16,0,0,0,0
AL,Houston,"(32.0, 64.0]",5,0,2309,0,0,48,0,0
AL,Houston,"(64.0, 128.0]",0,0,91,0,0,5,0,0
AL,Houston,"(8192.0, 16384.0]",0,0,0,3,0,0,0,0
AL,Houston,ALL,6,0,2406,21,0,55,0,0
AL,Jackson,"(128.0, 256.0]",0,0,1,0,0,0,0,0
AL,Jackson,"(16.0, 32.0]",1,1,0,0,0,1,0,0
AL,Jackson,"(16384.0, inf]",0,0,0,3,0,0,0,0
AL,Jackson,"(32.0, 64.0]",1,0,413,0,0,3,2,0
AL,Jackson,"(512.0, 1024.0]",0,0,0,1,0,0,0,0
AL,Jackson,"(64.0, 128.0]",0,0,5,0,0,0,0,0
AL,Jackson,ALL,2,1,419,4,0,4,2,0
AL,Jefferson,"(128.0, 256.0]",0,0,184,25,0,34,2,0
AL,Jefferson,"(16.0, 32.0]",1164,188,6,39,0,176,98,6
AL,Jefferson,"(16384.0, inf]",0,0,0,21,0,0,0,0
AL,Jefferson,"(2048.0, 4096.0]",0,0,0,2,0,1,0,0
AL,Jefferson,"(256.0, 512.0]",0,0,27,32,0,1,0,0
AL,Jefferson,"(32.0, 64.0]",1151,238,14613,13,0,321,123,0
AL,Jefferson,"(4096.0, 8192.0]",0,0,0,4,0,0,0,0
AL,Jefferson,"(512.0, 1024.0]",0,0,7,11,89,0,0,0
AL,Jefferson,"(64.0, 128.0]",125,14,1740,14,0,147,27,0
AL,Jefferson,"(8192.0, 16384.0]",0,0,0,2,0,0,0,0
AL,Jefferson,ALL,2440,440,16577,163,89,680,250,6
AL,Lamar,"(16.0, 32.0]",1,0,0,0,0,2,0,0
AL,Lamar,"(32.0, 64.0]",0,0,108,0,0,0,0,0
AL,Lamar,"(64.0, 128.0]",0,0,2,0,0,0,0,0
AL,Lamar,ALL,1,0,110,0,0,2,0,0
AL,Lauderdale,"(16.0, 32.0]",0,1,0,0,0,2,0,0
AL,Lauderdale,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,Lauderdale,"(32.0, 64.0]",2,0,630,0,0,2,0,0
AL,Lauderdale,"(512.0, 1024.0]",0,0,0,1,0,0,0,0
AL,Lauderdale,"(64.0, 128.0]",1,0,14,0,0,0,0,0
AL,Lauderdale,ALL,3,1,644,3,0,4,0,0
AL,Lawrence,"(16.0, 32.0]",2,1,0,0,0,0,0,0
AL,Lawrence,"(32.0, 64.0]",4,0,202,0,0,2,0,0
AL,Lawrence,"(512.0, 1024.0]",0,0,0,7,0,0,0,0
AL,Lawrence,"(64.0, 128.0]",0,0,1,0,0,0,0,0
AL,Lawrence,ALL,6,1,203,7,0,2,0,0
AL,Lee,"(0.0, 16.0]",0,0,19,0,0,0,0,0
AL,Lee,"(128.0, 256.0]",0,0,12,0,0,2,0,0
AL,Lee,"(16.0, 32.0]",18,2,5,0,0,3,0,0
AL,Lee,"(16384.0, inf]",0,0,0,9,0,0,0,0
AL,Lee,"(256.0, 512.0]",0,0,4,6,0,0,0,0
AL,Lee,"(32.0, 64.0]",15,3,1460,2,0,34,2,0
AL,Lee,"(4096.0, 8192.0]",0,0,0,8,0,0,0,0
AL,Lee,"(512.0, 1024.0]",0,0,0,0,16,0,0,0
AL,Lee,"(64.0, 128.0]",1,0,101,0,0,15,0,0
AL,Lee,"(8192.0, 16384.0]",0,0,0,3,0,0,0,0
AL,Lee,ALL,34,5,1601,28,16,54,2,0
AL,Limestone,"(128.0, 256.0]",0,0,14,2,0,14,0,0
AL,Limestone,"(16.0, 32.0]",14,1,0,0,0,4,0,0
AL,Limestone,"(16384.0, inf]",0,0,0,23,0,0,0,0
AL,Limestone,"(256.0, 512.0]",0,0,2,4,0,3,0,0
AL,Limestone,"(32.0, 64.0]",9,1,1946,2,0,28,1,0
AL,Limestone,"(4096.0, 8192.0]",0,0,0,2,0,0,0,0
AL,Limestone,"(512.0, 1024.0]",0,0,0,8,0,0,0,0
AL,Limestone,"(64.0, 128.0]",6,1,141,8,0,8,3,0
AL,Limestone,ALL,29,3,2103,49,0,57,4,0
AL,Lowndes,"(128.0, 256.0]",0,0,0,0,0,1,0,0
AL,Lowndes,"(16.0, 32.0]",8,3,0,0,0,2,0,0
AL,Lowndes,"(16384.0, inf]",0,0,0,7,0,0,0,0
AL,Lowndes,"(32.0, 64.0]",16,2,714,0,0,5,0,0
AL,Lowndes,"(4096.0, 8192.0]",0,0,0,2,0,0,0,0
AL,Lowndes,"(64.0, 128.0]",0,0,35,0,0,3,0,0
AL,Lowndes,ALL,24,5,749,9,0,11,0,0
AL,Macon,"(16.0, 32.0]",23,7,0,0,0,2,0,0
AL,Macon,"(32.0, 64.0]",15,1,228,1,0,5,1,0
AL,Macon,"(512.0, 1024.0]",0,0,0,2,0,0,0,0
AL,Macon,"(64.0, 128.0]",1,0,5,0,0,0,0,0
AL,Macon,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Macon,ALL,39,8,233,4,0,7,1,0
AL,Madison,"(128.0, 256.0]",0,0,19,10,0,0,1,0
AL,Madison,"(16.0, 32.0]",24,3,0,2,0,14,1,0
AL,Madison,"(16384.0, inf]",0,0,0,19,0,0,0,0
AL,Madison,"(256.0, 512.0]",0,0,2,3,0,1,0,0
AL,Madison,"(32.0, 64.0]",13,0,4422,0,0,50,0,0
AL,Madison,"(4096.0, 8192.0]",0,0,0,2,0,0,0,0
AL,Madison,"(512.0, 1024.0]",0,0,0,2,11,0,0,1
AL,Madison,"(64.0, 128.0]",0,0,472,0,0,17,0,1
AL,Madison,ALL,37,3,4915,38,11,82,2,2
AL,Marengo,"(128.0, 256.0]",0,0,9,0,0,0,0,0
AL,Marengo,"(16.0, 32.0]",0,0,1,0,0,0,0,0
AL,Marengo,"(256.0, 512.0]",0,0,5,0,0,0,0,0
AL,Marengo,"(32.0, 64.0]",0,0,589,0,0,0,0,0
AL,Marengo,"(64.0, 128.0]",0,0,45,0,0,0,0,0
AL,Marengo,ALL,0,0,649,0,0,0,0,0
AL,Marion,"(16.0, 32.0]",13,3,0,0,0,0,1,0
AL,Marion,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,Marion,"(32.0, 64.0]",11,0,348,0,0,1,0,0
AL,Marion,"(64.0, 128.0]",1,0,10,0,0,0,0,0
AL,Marion,ALL,25,3,358,2,0,1,1,0
AL,Marshall,"(128.0, 256.0]",0,0,1,0,0,0,0,0
AL,Marshall,"(16.0, 32.0]",2,0,0,1,0,1,0,0
AL,Marshall,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,Marshall,"(32.0, 64.0]",2,0,859,0,0,5,0,0
AL,Marshall,"(64.0, 128.0]",0,0,42,0,0,2,0,1
AL,Marshall,ALL,4,0,902,3,0,8,0,1
AL,Mobile,"(1024.0, 2048.0]",0,0,0,2,0,0,0,0
AL,Mobile,"(128.0, 256.0]",1,1,82,6,0,15,0,0
AL,Mobile,"(16.0, 32.0]",669,126,2,9,0,57,50,2
AL,Mobile,"(16384.0, inf]",0,0,0,3,0,0,0,0
AL,Mobile,"(2048.0, 4096.0]",0,0,0,2,0,0,0,0
AL,Mobile,"(256.0, 512.0]",0,0,14,30,0,6,0,0
AL,Mobile,"(32.0, 64.0]",842,75,8255,2,0,143,35,0
AL,Mobile,"(4096.0, 8192.0]",0,0,0,2,0,0,0,0
AL,Mobile,"(512.0, 1024.0]",0,0,3,32,87,4,0,0
AL,Mobile,"(64.0, 128.0]",85,5,551,0,0,31,4,0
AL,Mobile,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Mobile,ALL,1597,207,8907,89,87,256,89,2
AL,Monroe,"(128.0, 256.0]",0,0,10,0,0,0,0,0
AL,Monroe,"(32.0, 64.0]",1,0,312,0,0,2,0,0
AL,Monroe,"(64.0, 128.0]",0,0,29,0,0,0,0,0
AL,Monroe,ALL,1,0,351,0,0,2,0,0
AL,Montgomery,"(1024.0, 2048.0]",0,0,0,2,0,0,0,0
AL,Montgomery,"(128.0, 256.0]",0,0,12,1,0,5,0,0
AL,Montgomery,"(16.0, 32.0]",312,150,1,2,0,28,14,0
AL,Montgomery,"(16384.0, inf]",0,0,0,5,0,0,0,0
AL,Montgomery,"(2048.0, 4096.0]",0,0,0,1,0,0,0,0
AL,Montgomery,"(32.0, 64.0]",302,51,3712,0,0,93,12,1
AL,Montgomery,"(512.0, 1024.0]",0,0,0,8,73,0,0,0
AL,Montgomery,"(64.0, 128.0]",20,9,206,1,0,18,3,0
AL,Montgomery,ALL,634,210,3931,20,73,144,29,1
AL,Morgan,"(128.0, 256.0]",0,0,23,0,0,16,0,0
AL,Morgan,"(16.0, 32.0]",14,1,1,2,0,8,2,0
AL,Morgan,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,Morgan,"(256.0, 512.0]",0,0,4,2,0,3,0,0
AL,Morgan,"(32.0, 64.0]",8,0,2430,0,0,33,0,0
AL,Morgan,"(4096.0, 8192.0]",0,0,0,1,0,0,0,0
AL,Morgan,"(64.0, 128.0]",1,0,209,0,0,20,0,0
AL,Morgan,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Morgan,ALL,23,1,2667,8,0,80,2,0
AL,Perry,"(16.0, 32.0]",2,0,0,0,0,1,0,0
AL,Perry,"(32.0, 64.0]",2,0,147,0,0,0,0,0
AL,Perry,"(64.0, 128.0]",0,0,2,0,0,0,0,0
AL,Perry,ALL,4,0,149,0,0,1,0,0
AL,Pickens,"(128.0, 256.0]",0,0,0,0,0,0,0,1
AL,Pickens,"(16.0, 32.0]",11,1,0,0,0,1,0,0
AL,Pickens,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,Pickens,"(32.0, 64.0]",10,0,272,0,0,0,0,0
AL,Pickens,"(64.0, 128.0]",0,0,8,0,0,0,0,0
AL,Pickens,ALL,21,1,280,2,0,1,0,1
AL,Pike,"(128.0, 256.0]",0,0,2,0,0,0,0,0
AL,Pike,"(16384.0, inf]",0,0,0,5,0,0,0,0
AL,Pike,"(256.0, 512.0]",0,0,1,0,0,0,0,0
AL,Pike,"(32.0, 64.0]",2,0,650,0,0,12,1,0
AL,Pike,"(512.0, 1024.0]",0,0,0,0,8,0,0,0
AL,Pike,"(64.0, 128.0]",0,0,34,0,0,3,0,0
AL,Pike,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Pike,ALL,2,0,687,6,8,15,1,0
