State,County,RefinedType,"(0.0, 16.0]","(16.0, 32.0]","(32.0, 64.0]","(64.0, 128.0]","(128.0, 256.0]","(256.0, 512.0]","(512.0, 1024.0]","(1024.0, 2048.0]","(2048.0, 4096.0]","(4096.0, 8192.0]","(8192.0, 16384.0]","(16384.0, inf]"
AL,Chilton,Incident,0,23,25,5,2,0,0,0,0,0,0,0
AL,Chilton,Lane,0,9,13,3,0,0,0,0,0,0,0,0
AL,Chilton,Other,0,0,0,1,0,0,0,0,0,0,0,0
AL,Chilton,ALL,0,276,1960,100,9,2,2,0,0,0,1,6
AL,Choctaw,Congestion,0,0,215,22,3,4,0,0,0,0,0,0
AL,Choctaw,Incident,0,0,1,0,0,0,0,0,0,0,0,0
AL,Choctaw,ALL,0,0,216,22,3,4,0,0,0,0,0,0
AL,Clarke,Accident,0,2,0,0,0,0,0,0,0,0,0,0
AL,Clarke,Congestion,0,0,697,22,0,0,0,0,0,0,0,0
AL,Clarke,Incident,0,1,3,1,0,0,0,0,0,0,0,0
AL,Clarke,ALL,0,3,700,23,0,0,0,0,0,0,0,0
AL,Clay,Congestion,0,0,83,4,0,0,0,0,0,0,0,0
AL,Clay,Incident,0,1,0,0,0,0,0,0,0,0,0,0
AL,Clay,ALL,0,1,83,4,0,0,0,0,0,0,0,0
AL,Cleburne,Accident,0,6,8,0,1,0,0,0,0,0,0,0
AL,Cleburne,Broken,0,4,1,0,0,0,0,0,0,0,0,0
AL,Cleburne,Congestion,0,0,335,14,3,1,0,0,0,0,0,0
AL,Cleburne,Construction,0,0,0,0,0,0,0,0,0,0,0,1
AL,Cleburne,Incident,0,2,5,1,0,0,0,0,0,0,0,0
AL,Cleburne,Lane,0,3,3,0,0,0,0,0,0,0,0,0
AL,Cleburne,ALL,0,15,352,15,4,1,0,0,0,0,0,1
AL,Coffee,Accident,0,1,1,0,0,0,0,0,0,0,0,0
AL,Coffee,Congestion,0,0,315,23,5,0,0,0,0,0,0,0
AL,Coffee,Construction,0,0,0,0,0,1,0,0,0,0,1,13
AL,Coffee,Incident,0,1,0,0,0,0,0,0,0,0,0,0
AL,Coffee,ALL,0,2,316,23,5,1,0,0,0,0,1,13
AL,Colbert,Accident,0,6,1,0,0,0,0,0,0,0,0,0
AL,Colbert,Congestion,0,0,511,16,1,0,0,0,0,0,0,0
AL,Colbert,Construction,0,0,0,0,0,2,0,0,0,0,0,0
AL,Colbert,Incident,0,0,5,0,0,0,0,0,0,0,0,0
AL,Colbert,ALL,0,6,517,16,1,2,0,0,0,0,0,0
AL,Conecuh,Accident,0,10,6,1,0,0,0,0,0,0,0,0
AL,Conecuh,Broken,0,1,0,0,0,0,0,0,0,0,0,0
AL,Conecuh,Congestion,0,0,564,11,2,0,0,0,0,0,0,0
AL,Conecuh,Construction,0,0,0,1,0,2,3,0,0,1,0,0
AL,Conecuh,Incident,0,3,5,1,0,0,0,0,0,0,0,0
AL,Conecuh,Lane,0,1,0,0,0,0,0,0,0,0,0,0
AL,Conecuh,ALL,0,15,575,14,2,2,3,0,0,1,0,0
AL,Coosa,Accident,0,3,3,0,0,0,0,0,0,0,0,0
AL,Coosa,Broken,0,1,0,0,0,0,0,0,0,0,0,0
AL,Coosa,Congestion,0,0,331,8,0,0,0,0,0,0,0,0
AL,Coosa,ALL,0,4,334,8,0,0,0,0,0,0,0,0
AL,Covington,Congestion,0,0,517,24,0,0,0,0,0,0,0,0
AL,Covington,Construction,0,0,0,0,0,0,0,0,0,0,0,4
AL,Covington,Incident,0,0,3,0,0,0,0,0,0,0,0,0
AL,Covington,ALL,0,0,520,24,0,0,0,0,0,0,0,4
AL,Crenshaw,Congestion,0,0,486,48,1,0,0,0,0,0,0,0
AL,Crenshaw,Construction,0,1,0,0,0,0,0,0,0,0,0,5
AL,Crenshaw,Incident,0,0,0,1,0,0,0,0,0,0,0,0
AL,Crenshaw,ALL,0,1,486,49,1,0,0,0,0,0,0,5
AL,Cullman,Accident,0,25,17,6,1,0,0,0,0,0,0,0
AL,Cullman,Broken,0,0,1,0,0,0,0,0,0,0,0,0
AL,Cullman,Congestion,0,0,2463,190,35,5,0,0,0,0,0,0
AL,Cullman,Construction,0,1,0,0,0,0,0,0,2,0,1,1
AL,Cullman,Incident,0,7,22,14,8,0,0,0,0,0,0,0
AL,Cullman,Lane,0,1,2,0,0,0,0,0,0,0,0,0
AL,Cullman,Other,0,0,0,1,0,0,0,0,0,0,0,0
AL,Cullman,ALL,0,34,2505,211,44,5,0,0,2,0,1,1
AL,Dale,Accident,0,2,0,0,0,0,0,0,0,0,0,0
AL,Dale,Congestion,0,0,508,14,0,0,0,0,0,0,0,0
AL,Dale,Construction,0,0,0,0,0,0,0,0,0,2,0,0
AL,Dale,Incident,0,0,4,0,0,0,0,0,0,0,0,0
AL,Dale,ALL,0,2,512,14,0,0,0,0,0,2,0,0
AL,Dallas,Accident,0,0,4,0,0,0,0,0,0,0,0,0
AL,Dallas,Congestion,0,0,704,23,3,0,0,0,0,0,0,0
AL,Dallas,Construction,0,0,0,0,0,0,0,0,0,1,1,2
AL,Dallas,Incident,0,2,7,1,0,0,0,0,0,0,0,0
AL,Dallas,ALL,0,2,715,24,3,0,0,0,0,1,1,2
AL,De Kalb,Congestion,0,0,83,7,0,0,0,0,0,0,0,0
AL,De Kalb,Incident,0,0,1,0,0,0,0,0,0,0,0,0
AL,De Kalb,ALL,0,0,84,7,0,0,0,0,0,0,0,0
AL,DeKalb,Accident,0,1,2,0,0,0,0,0,0,0,0,0
AL,DeKalb,Broken,0,1,0,0,0,0,0,0,0,0,0,0
AL,DeKalb,Congestion,0,0,395,21,4,0,0,0,0,0,0,0
AL,DeKalb,Construction,0,1,1,0,0,4,0,0,0,0,1,2
AL,DeKalb,Incident,0,2,2,0,1,0,0,0,0,0,0,0
AL,DeKalb,Lane,0,1,0,0,0,0,0,0,0,0,0,0
AL,DeKalb,ALL,0,6,400,21,5,4,0,0,0,0,1,2
AL,Elmore,Accident,0,21,37,4,0,0,0,0,0,0,0,0
AL,Elmore,Broken,0,35,10,0,0,0,0,0,0,0,0,0
AL,Elmore,Congestion,0,1,584,30,0,0,0,0,0,0,0,0
AL,Elmore,Construction,0,0,0,0,0,0,0,0,0,0,0,4
AL,Elmore,Incident,0,3,8,2,0,0,0,0,0,0,0,0
AL,Elmore,Lane,0,2,1,0,0,0,0,0,0,0,0,0
AL,Elmore,Other,0,0,0,1,0,0,0,0,0,0,0,0
AL,Elmore,ALL,0,62,640,37,0,0,0,0,0,0,0,4
AL,Escambia,Accident,0,8,11,1,0,0,0,0,0,0,0,0
AL,Escambia,Broken,0,3,3,0,0,0,0,0,0,0,0,0
AL,Escambia,Congestion,0,0,1056,79,15,3,1,0,0,0,0,0
AL,Escambia,Construction,0,1,0,0,0,0,6,0,0,0,0,1
AL,Escambia,Incident,0,1,6,8,0,0,0,0,0,0,0,0
AL,Escambia,Lane,0,0,0,1,0,0,0,0,0,0,0,0
AL,Escambia,ALL,0,13,1076,89,15,3,7,0,0,0,0,1
AL,Etowah,Accident,0,5,4,1,0,0,0,0,0,0,0,0
AL,Etowah,Broken,0,2,0,0,0,0,0,0,0,0,0,0
AL,Etowah,Congestion,0,0,1324,107,12,4,0,0,0,0,0,0
AL,Etowah,Construction,0,0,0,0,8,0,0,0,0,0,0,5
AL,Etowah,Incident,0,2,10,0,2,0,0,0,0,0,0,0
AL,Etowah,Lane,0,1,1,0,0,0,0,0,0,0,0,0
AL,Etowah,Other,0,0,0,0,1,0,0,0,0,0,0,0
AL,Etowah,ALL,0,10,1339,108,23,4,0,0,0,0,0,5
AL,Fayette,Accident,0,2,6,2,0,0,0,0,0,0,0,0
AL,Fayette,Broken,0,1,0,0,0,0,0,0,0,0,0,0
AL,Fayette,Congestion,0,0,133,4,0,0,0,0,0,0,0,0
AL,Fayette,Construction,0,0,0,0,0,0,2,0,0,0,0,7
AL,Fayette,Incident,0,1,0,0,0,0,0,0,0,0,0,0
AL,Fayette,Other,0,0,0,0,1,0,0,0,0,0,0,0
AL,Fayette,ALL,0,4,139,6,1,0,2,0,0,0,0,7
AL,Franklin,Accident,0,1,0,0,0,0,0,0,0,0,0,0
AL,Franklin,Congestion,0,0,202,3,1,0,0,0,0,0,0,0
AL,Franklin,Construction,0,0,0,0,0,1,0,0,0,0,1,0
AL,Franklin,Incident,0,1,0,1,0,0,0,0,0,0,0,0
AL,Franklin,ALL,0,2,202,4,1,1,0,0,0,0,1,0
AL,Geneva,Accident,0,1,0,0,0,0,0,0,0,0,0,0
AL,Geneva,Congestion,0,0,233,31,2,0,0,0,0,0,0,0
AL,Geneva,Construction,0,0,0,0,0,0,0,1,0,0,0,2
AL,Geneva,Incident,0,1,0,0,0,0,0,0,0,0,0,0
AL,Geneva,ALL,0,2,233,31,2,0,0,1,0,0,0,2
AL,Greene,Accident,0,23,18,1,0,0,0,0,0,0,0,0
AL,Greene,Broken,0,2,0,0,0,0,0,0,0,0,0,0
AL,Greene,Congestion,0,0,226,16,1,0,0,0,0,0,0,0
AL,Greene,Construction,0,0,1,0,0,1,1,0,0,0,0,4
AL,Greene,Incident,0,2,2,2,1,0,0,0,0,0,0,0
AL,Greene,Lane,0,0,1,1,0,0,0,0,0,0,0,0
AL,Greene,Other,0,0,1,0,0,0,0,0,0,0,0,0
AL,Greene,ALL,0,27,249,20,2,1,1,0,0,0,0,4
AL,Hale,Accident,0,2,1,0,0,0,0,0,0,0,0,0
AL,Hale,Congestion,0,0,173,4,0,0,0,0,0,0,0,0
AL,Hale,Incident,0,2,2,0,0,0,0,0,0,0,0,0
AL,Hale,Lane,0,1,0,0,0,0,0,0,0,0,0,0
AL,Hale,ALL,0,5,176,4,0,0,0,0,0,0,0,0
AL,Henry,Accident,0,0,1,0,0,0,0,0,0,0,0,0
AL,Henry,Congestion,10,13,351,21,6,1,0,0,0,0,0,0
AL,Henry,Construction,0,0,0,0,0,0,0,0,0,0,2,5
AL,Henry,Incident,0,0,3,0,0,0,0,0,0,0,0,0
AL,Henry,ALL,10,13,355,21,6,1,0,0,0,0,2,5
AL,Houston,Accident,0,1,5,0,0,0,0,0,0,0,0,0
AL,Houston,Congestion,0,0,2309,91,6,0,0,0,0,0,0,0
AL,Houston,Construction,0,0,0,0,0,0,0,2,0,0,3,16
AL,Houston,Incident,0,2,48,5,0,0,0,0,0,0,0,0
AL,Houston,ALL,0,3,2362,96,6,0,0,2,0,0,3,16
AL,Jackson,Accident,0,1,1,0,0,0,0,0,0,0,0,0
AL,Jackson,Broken,0,1,0,0,0,0,0,0,0,0,0,0
AL,Jackson,Congestion,0,0,413,5,1,0,0,0,0,0,0,0
AL,Jackson,Construction,0,0,0,0,0,0,1,0,0,0,0,3
AL,Jackson,Incident,0,1,3,0,0,0,0,0,0,0,0,0
AL,Jackson,Lane,0,0,2,0,0,0,0,0,0,0,0,0
AL,Jackson,ALL,0,3,419,5,1,0,1,0,0,0,0,3
AL,Jefferson,Accident,0,1164,1151,125,0,0,0,0,0,0,0,0
AL,Jefferson,Broken,0,188,238,14,0,0,0,0,0,0,0,0
AL,Jefferson,Congestion,0,6,14613,1740,184,27,7,0,0,0,0,0
AL,Jefferson,Construction,0,39,13,14,25,32,11,0,2,4,2,21
AL,Jefferson,Event,0,0,0,0,0,0,89,0,0,0,0,0
AL,Jefferson,Incident,0,176,321,147,34,1,0,0,1,0,0,0
AL,Jefferson,Lane,0,98,123,27,2,0,0,0,0,0,0,0
AL,Jefferson,Other,0,6,0,0,0,0,0,0,0,0,0,0
AL,Jefferson,ALL,0,1677,16459,2067,245,60,107,0,3,4,2,21
AL,Lamar,Accident,0,1,0,0,0,0,0,0,0,0,0,0
AL,Lamar,Congestion,0,0,108,2,0,0,0,0,0,0,0,0
AL,Lamar,Incident,0,2,0,0,0,0,0,0,0,0,0,0
AL,Lamar,ALL,0,3,108,2,0,0,0,0,0,0,0,0
AL,Lauderdale,Accident,0,0,2,1,0,0,0,0,0,0,0,0
AL,Lauderdale,Broken,0,1,0,0,0,0,0,0,0,0,0,0
AL,Lauderdale,Congestion,0,0,630,14,0,0,0,0,0,0,0,0
AL,Lauderdale,Construction,0,0,0,0,0,0,1,0,0,0,0,2
AL,Lauderdale,Incident,0,2,2,0,0,0,0,0,0,0,0,0
AL,Lauderdale,ALL,0,3,634,15,0,0,1,0,0,0,0,2
AL,Lawrence,Accident,0,2,4,0,0,0,0,0,0,0,0,0
AL,Lawrence,Broken,0,1,0,0,0,0,0,0,0,0,0,0
AL,Lawrence,Congestion,0,0,202,1,0,0,0,0,0,0,0,0
AL,Lawrence,Construction,0,0,0,0,0,0,7,0,0,0,0,0
AL,Lawrence,Incident,0,0,2,0,0,0,0,0,0,0,0,0
AL,Lawrence,ALL,0,3,208,1,0,0,7,0,0,0,0,0
AL,Lee,Accident,0,18,15,1,0,0,0,0,0,0,0,0
AL,Lee,Broken,0,2,3,0,0,0,0,0,0,0,0,0
AL,Lee,Congestion,19,5,1460,101,12,4,0,0,0,0,0,0
AL,Lee,Construction,0,0,2,0,0,6,0,0,0,8,3,9
AL,Lee,Event,0,0,0,0,0,0,16,0,0,0,0,0
AL,Lee,Incident,0,3,34,15,2,0,0,0,0,0,0,0
AL,Lee,Lane,0,0,2,0,0,0,0,0,0,0,0,0
AL,Lee,ALL,19,28,1516,117,14,10,16,0,0,8,3,9
