State,County,"(0.0, 16.0]","(16.0, 32.0]","(32.0, 64.0]","(64.0, 128.0]","(128.0, 256.0]","(256.0, 512.0]","(512.0, 1024.0]","(1024.0, 2048.0]","(2048.0, 4096.0]","(4096.0, 8192.0]","(8192.0, 16384.0]","(16384.0, 32768.0]","(32768.0, 65536.0]","(65536.0, 131072.0]","(131072.0, 262144.0]","(262144.0, 524288.0]","(524288.0, inf]"
AR,ALL,0,356,34300,2841,293,65,212,27,12,34,5,67,302,140,16,117,0
AR,Arkansas,0,1,186,1,1,2,0,0,0,1,0,1,3,3,0,0,0
AR,Ashley,0,1,287,1,0,3,0,1,0,5,0,3,2,3,0,2,0
AR,Baxter,0,0,171,6,0,0,0,0,0,0,0,0,3,3,0,2,0
AR,Benton,0,8,2900,464,51,9,1,0,0,0,1,0,7,6,1,8,0
AR,Boone,0,1,439,22,0,0,0,0,0,0,0,0,2,2,0,1,0
AR,Bradley,0,0,103,2,0,0,0,0,1,1,0,0,0,0,0,0,0
AR,Calhoun,0,0,298,21,3,1,0,0,0,0,0,6,7,2,0,4,0
AR,Carroll,0,0,257,8,2,0,0,0,0,0,0,0,3,0,0,4,0
AR,Chicot,0,2,298,7,0,0,0,0,0,0,0,0,4,1,0,0,0
AR,Clark,0,13,381,17,5,3,0,1,0,1,1,0,4,3,0,2,0
AR,Clay,0,0,110,3,0,0,0,0,0,0,0,0,1,1,0,0,0
AR,Cleburne,0,0,163,2,0,0,0,0,0,0,0,0,2,1,0,0,0
AR,Cleveland,0,0,136,8,0,0,0,0,0,0,0,0,0,1,0,0,0
AR,Columbia,0,1,193,8,0,0,0,0,0,0,0,5,4,0,2,2,0
AR,Conway,0,8,208,17,4,0,0,0,0,0,0,0,0,0,0,0,0
AR,Craighead,0,5,814,76,2,0,13,1,1,1,0,3,7,3,0,2,0
AR,Crawford,0,5,752,54,1,0,1,0,0,1,0,0,5,7,0,5,0
AR,Crittenden,0,95,1271,136,28,5,1,0,0,1,1,0,10,5,0,3,0
AR,Cross,0,0,422,12,0,0,0,0,1,1,0,0,5,4,0,0,0
AR,Dallas,0,1,52,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AR,Desha,0,0,255,10,0,1,0,1,0,1,0,8,19,2,1,4,0
AR,Drew,0,1,211,4,0,2,0,2,0,0,0,10,9,5,4,0,0
AR,Faulkner,0,10,586,75,4,1,8,0,0,0,0,0,2,4,2,0,0
AR,Franklin,0,0,219,14,2,0,0,0,0,0,0,0,2,0,0,2,0
AR,Fulton,0,1,91,2,0,0,0,0,0,0,0,0,3,1,0,2,0
AR,Garland,0,3,833,89,3,1,0,0,0,0,0,0,10,7,1,3,0
AR,Grant,0,0,222,13,0,1,0,0,0,2,0,0,1,1,0,0,0
AR,Greene,0,0,210,3,0,1,0,1,1,0,1,0,7,1,0,0,0
AR,Hempstead,0,9,1002,74,9,1,0,0,0,0,0,2,4,2,0,0,0
AR,Hot Spring,0,10,282,18,2,1,0,0,0,0,0,1,3,2,0,0,0
AR,Howard,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Independence,0,1,409,19,1,0,0,0,1,0,0,1,3,0,0,1,0
AR,Izard,0,0,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Jackson,0,0,347,4,0,1,0,2,1,3,0,0,3,0,0,2,0
AR,Jefferson,0,2,602,22,0,0,4,0,0,0,0,9,6,4,0,1,0
AR,Johnson,0,6,253,13,0,0,0,0,0,0,0,0,3,1,0,1,0
AR,Lafayette,0,1,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Lawrence,0,0,204,7,0,0,0,0,0,0,0,0,4,2,0,0,0
AR,Lee,0,0,71,4,0,0,0,2,0,0,0,1,1,4,0,1,0
AR,Lincoln,0,0,165,0,0,0,0,2,0,2,0,1,1,1,0,0,0
AR,Little River,0,0,213,3,0,1,0,0,0,0,0,1,4,0,2,0,0
AR,Logan,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Lonoke,0,17,746,48,7,11,0,2,1,4,0,0,2,4,0,4,0
AR,Madison,0,0,112,5,0,0,0,0,0,0,0,0,3,0,0,5,0
AR,Marion,0,0,84,1,0,0,0,0,0,0,0,0,3,2,0,1,0
AR,Miller,0,11,940,74,12,3,1,0,0,0,0,0,0,3,0,0,0
AR,Mississippi,0,3,795,33,6,0,0,6,1,3,0,1,15,3,0,5,0
AR,Monroe,0,4,302,18,5,0,0,0,0,1,0,0,1,1,0,0,0
AR,Montgomery,0,0,110,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Nevada,0,2,257,2,0,1,0,0,0,0,0,0,0,0,0,0,0
AR,Newton,0,0,194,3,0,0,0,0,0,0,0,1,5,1,0,1,0
AR,Ouachita,0,0,225,7,0,1,0,0,1,1,0,7,15,3,0,4,0
AR,Perry,0,1,89,2,0,0,0,1,0,1,0,0,5,1,0,1,0
AR,Phillips,0,1,217,18,0,1,0,0,0,0,0,1,1,3,0,0,0
AR,Pike,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Poinsett,0,4,368,5,0,0,0,2,0,1,0,1,8,3,0,3,0
AR,Polk,0,0,268,3,0,0,0,0,0,0,0,0,0,0,0,0,0
